province/state,country/region,lat,long,total_infected
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,3654433
,United Kingdom,55.3781,-3.436,12024062456
,Uruguay,-32.5228,-55.7658,498924080
,Uzbekistan,41.377491,64.585262,160141741
,Vanuatu,-15.3767,166.9592,3782631
,Venezuela,6.4238,-66.5897,341179029
,Vietnam,14.058324,108.277199,4314591370
,West Bank and Gaza,31.9522,35.2332,412543696
,Winter Olympics 2022,39.9042,116.4074,214462
,Yemen,15.552727,48.516388,7879435
,Zambia,-13.133897,27.849332,195953683
,Zimbabwe,-19.015438,29.154857,140385286
